id,number,revision,job,base_material,finish,measured_status,drawing
1101,47959077,H,,,,FALSE,FALSE
1102,92245601,A,N090086,subcomponent,,FALSE,TRUE
1196,92245599,A,N090098,,,FALSE,TRUE
1103,91838236,D,N090022,,,FALSE,TRUE
1104,91825165,D,,,,FALSE,FALSE
1105,92223436,B,N090069,,,FALSE,TRUE
1106,92273650,A,N090070,,,FALSE,TRUE
1107,91718250,E,,,,FALSE,FALSE
1108,92246345,A,,subcomponent,,FALSE,FALSE
1197,47803796,A,,,,FALSE,FALSE
1198,47803797,B,,,,FALSE,FALSE
1199,47831579,A,,,,FALSE,FALSE
1200,90430735,A,,,,FALSE,FALSE
1109,CPA-2761-RAW,004,090066,,,FALSE,TRUE
1110,CPA-2760-RAW,005,090067,,,FALSE,TRUE
1111,47497696,B,N080478,steel,chome,TRUE,TRUE
1112,47832750,A,N080480,steel,chome,TRUE,TRUE
1113,48195970,C,N080481,steel,chome,TRUE,TRUE
1114,51436889,A,N080482,steel,chome,TRUE,TRUE
1115,51529963,B,N080483,steel,chome,TRUE,TRUE
1116,51555453,B,N080484,steel,chome,TRUE,TRUE
1117,84559122,A,N080485,steel,chome,TRUE,TRUE
1118,91848392,B,N080608,steel,chome,TRUE,TRUE
1119,92097027,B,N086026,steel,chome,TRUE,TRUE
1120,84521583,C,N086101,steel,chome,TRUE,TRUE
1121,48094498,B,N087059,subcomponent,chome,TRUE,TRUE
1201,48094495,B,N087071,steel,,TRUE,TRUE
1202,47912615,A,N087072,steel,,TRUE,TRUE
1122,92075960,A,N089184,steel,chome,TRUE,TRUE
1123,140189A1,C,N089189,steel,chome,TRUE,TRUE
1124,92241728,A,N089845,,,FALSE,TRUE
1125,CA-839,006,N088773,,,FALSE,TRUE
1126,47447659,B,,,,FALSE,FALSE
1127,91755353,B,,,,FALSE,FALSE
1128,92246741,A,,,,FALSE,FALSE
1129,90368670,D,,,,FALSE,FALSE
1130,91726746,C,,,,FALSE,FALSE
1131,92203336,C,,,,FALSE,FALSE
1132,92194425,A,,,,FALSE,FALSE
1133,91706252,F,,,,FALSE,FALSE
1134,91706248,F,,,,FALSE,FALSE
1135,91706251,F,,,,FALSE,FALSE
1136,91706247,F,,,,FALSE,FALSE
1137,92241311,A,,,,FALSE,FALSE
1138,92273425,C,,,,FALSE,FALSE
1139,124-000080-04,A,,,,FALSE,FALSE
1140,124-006800-02,007,,,,FALSE,FALSE
1141,124-002161-21,001,,,,FALSE,FALSE
1142,124-002341-01,001,,,,FALSE,FALSE
1143,124-002342-01,001,,,,FALSE,FALSE
1144,124-002343-01,000,,,,FALSE,FALSE
1145,124-002715-01,001,,,,FALSE,FALSE
1146,SDA-4847,005,,,,FALSE,FALSE
1147,SDA-4593-S112,003,,,,FALSE,FALSE
1148,SD-5169,005,,,,FALSE,FALSE
1149,QCPA-5236,005,,,,FALSE,FALSE
1152,51681061,B,,,,FALSE,FALSE
1153,90332490,D,,,,FALSE,FALSE
1154,91836073,A,,,,FALSE,FALSE
1155,90431358,D,,,,FALSE,FALSE
1156,86990632,A,,,,FALSE,FALSE
1157,86990634,B,,,,FALSE,FALSE
1158,125-000730-01,B,,,,FALSE,FALSE
1159,124-002719-01,004,,,,FALSE,FALSE
1160,92139165,A,,,,FALSE,FALSE
1161,J15596,C,N077270,subcomponent,chrome,FALSE,TRUE
1203,J15597 (87659012),C,N077271,steel,,TRUE,TRUE
1204,J15594 (87584399),E,N077272,steel,,TRUE,TRUE
1162,J15591,F,N077814,subcomponent,,FALSE,TRUE
1205,J15595 (87584400),E,N077828,,,FALSE,TRUE
1163,92150910,A,N088805,,,FALSE,TRUE
1164,92059980,B,N088391,,,FALSE,TRUE
1165,92163854,A,N089261,,,FALSE,TRUE
1166,92131960,A,N088813,,,FALSE,TRUE
1167,92157325,A,N089072,,,FALSE,TRUE
1168,47379135,E,N089453,subcomponent,,FALSE,TRUE
1207,47379136,D,N089833,steel,,FALSE,TRUE
1169,92185725,B,N089097,,,FALSE,TRUE
1170,92156140,B,N089454,subcomponent,,FALSE,TRUE
1208,92156139,A,N089490,steel,,FALSE,TRUE
1171,123-000065-01,000,N089800,,,FALSE,TRUE
1172,92282948,B,N089958,subcomponent,,FALSE,TRUE
1209,92282947,B,N089985,steel,,TRUE,TRUE
1173,92282950,B,N089959,subcomponent,,FALSE,TRUE
1210,92282949,B,N089973,steel,,TRUE,TRUE
1174,124-002722-01,002,N085061,,,FALSE,TRUE
1175,SDA-4877,005,N087722,subcomponent,,FALSE,TRUE
1211,SD-6628,003,N087723,aluminum,,TRUE,TRUE
1212,SD-6478,006,N087724,aluminum,,TRUE,TRUE
1176,CP-6404-RAW,005,N087228,,,FALSE,TRUE
1177,CMA-1027 RAW,004,N088740,,,FALSE,TRUE
1178,CPA-1343-RAW,004,N088777,aluminum,alodine,TRUE,TRUE
1179,CP-1085,003,N088770,aluminum,alodine,TRUE,TRUE
1180,CPA-1944-RAW,004,N089329,aluminum,alodine,TRUE,TRUE
1181,CP-2103,006,N088781,aluminum,alodine,TRUE,TRUE
1182,124-002123-16,001,N088801,aluminum,alodine,TRUE,TRUE
1183,124-002130-01,012,N089011,aluminum,alodine,TRUE,TRUE
1184,SDA-4593-S109,000,N088975,aluminum,alodine,TRUE,TRUE
1185,124-002118-01,011,N089203,aluminum,,TRUE,TRUE
1186,124-002631-01,006,N089323,aluminum,,TRUE,TRUE
1187,124-002131-01,011,N089571,aluminum,,TRUE,TRUE
1188,124-000027-01,C,N089254,aluminum,,TRUE,TRUE
1189,SDA-27067,001,N089562,aluminum,,TRUE,TRUE
1190,SDA-4593-S138,000,N089612,aluminum,,TRUE,TRUE
1191,124-002123-19,002,N089666,,,FALSE,TRUE
1192,124-002120-39,002,N089890,,,FALSE,TRUE
1193,SDA-4593-S127,004,N089891,,,FALSE,TRUE
1194,SDA-4593-S141,001,N089892,,,FALSE,TRUE
1195,FD-4335,009,N089907,,,FALSE,TRUE
